,date,equity,position
76,2024-03-01,101641.31182862636,0
77,2024-03-28,101641.31182862636,1
78,2024-04-02,102204.38460007415,0
79,2024-04-25,102204.38460007415,1
80,2024-04-26,101557.69932729239,0
81,2024-04-29,101557.69932729239,1
82,2024-05-02,101123.0595561951,0
83,2024-05-31,101123.0595561951,1
84,2024-06-04,97034.48898650176,0
85,2024-06-05,97034.48898650176,1
86,2024-06-06,97307.91985028234,0
87,2024-06-19,97307.91985028234,1
88,2024-06-20,97754.05696453108,0
89,2024-07-10,97754.05696453108,-1
90,2024-07-11,97553.81129524365,0
91,2024-07-15,97553.81129524365,1
92,2024-07-16,97393.79521923485,0
93,2024-07-24,97393.79521923485,1
94,2024-07-25,96566.14972408925,0
95,2024-07-29,96566.14972408925,1
96,2024-07-30,96643.85850800617,0
97,2024-08-30,96643.85850800617,1
98,2024-09-02,96716.12303154268,0
99,2024-09-20,96716.12303154268,1
100,2024-09-23,97051.28596097857,0
101,2024-10-07,97051.28596097857,1
102,2024-10-08,97705.6590359336,0
103,2024-10-25,97705.6590359336,-1
104,2024-10-28,96795.53768581955,0
105,2024-10-29,96795.53768581955,1
106,2024-10-30,95838.395690929,0
107,2024-11-25,95838.395690929,1
108,2024-11-26,95755.86484863563,0
109,2024-12-20,95755.86484863563,1
110,2024-12-23,96418.17658078054,0
111,2024-12-30,96418.17658078054,1
112,2024-12-31,96196.84057239136,0
113,2025-01-27,96196.84057239136,-1
114,2025-01-28,94641.79026073906,0
115,2025-02-27,94641.79026073906,1
116,2025-02-28,93851.68719614467,0
117,2025-03-11,93851.68719614467,-1
118,2025-03-12,93422.12554845239,0
119,2025-03-27,93422.12554845239,1
120,2025-03-28,93349.94628748496,0
121,2025-04-03,93349.94628748496,1
122,2025-04-04,93134.05401771303,0
123,2025-04-17,93134.05401771303,1
124,2025-04-21,94254.0057437548,0
125,2025-05-30,94254.0057437548,1
126,2025-06-02,94389.20112303238,0
127,2025-06-06,94389.20112303238,1
128,2025-06-09,94641.32201123814,0
129,2025-06-27,94641.32201123814,1
130,2025-06-30,94382.10733859979,0
131,2025-07-01,94382.10733859979,1
132,2025-07-02,93610.10918536756,0
133,2025-08-26,93610.10918536756,-1
134,2025-08-29,94494.87831243119,0
135,2025-09-17,94494.87831243119,1
136,2025-09-18,94722.31813427365,0
137,2025-09-19,94722.31813427365,-1
138,2025-09-22,94882.89177739529,0
139,2025-09-29,94882.89177739529,1
140,2025-09-30,95047.6120561439,0
141,2025-10-20,95047.6120561439,1
142,2025-10-21,94952.98090044374,0
143,2025-10-23,94952.98090044374,1
144,2025-10-24,94311.0601270567,0
145,2025-10-28,94311.0601270567,1
146,2025-10-29,94457.81646764695,0
147,2025-10-31,94457.81646764695,1
148,2024-03-01,100000.0,-1
149,2024-03-11,99860.79582747672,0
150,2024-04-04,99860.79582747672,-1
151,2024-04-15,100220.66267604969,0
152,2024-04-29,100220.66267604969,-1
153,2024-05-03,100862.48723881089,0
154,2024-05-27,100862.48723881089,-1
155,2024-05-28,101012.8529865055,0
156,2024-06-03,101012.8529865055,-1
157,2024-06-04,106771.64331432896,0
158,2024-06-07,106771.64331432896,-1
159,2024-06-10,106756.22332664198,0
160,2024-06-18,106756.22332664198,-1
161,2024-06-28,103011.31100136721,0
162,2024-07-03,103011.31100136721,-1
163,2024-07-05,103528.13634785783,0
164,2024-07-23,103528.13634785783,1
165,2024-07-30,102939.17102185714,0
166,2024-08-05,102939.17102185714,1
167,2024-08-09,103434.3396784539,0
168,2024-08-13,103434.3396784539,1
169,2024-08-16,104338.65237949709,0
170,2024-08-30,104338.65237949709,-1
171,2024-09-04,104184.2042317959,0
172,2024-09-12,104184.2042317959,-1
173,2024-09-27,100333.98756893101,0
174,2024-10-07,100333.98756893101,1
175,2024-10-10,101684.46902188343,0
176,2024-10-29,101684.46902188343,-1
177,2024-10-30,102313.73467178314,0
178,2024-11-05,102313.73467178314,-1
179,2024-11-07,102653.95090506527,0
